id,date,region,product_category,product_name,revenue,units_sold,customer_id,sales_rep
1,2025-03-28,East,Clothing,Silk Dress Shirt,461.91,19,57,Olivia Clark
2,2025-12-16,South,Electronics,Laptop Pro X1,4871.1,39,103,David Kim
3,2025-12-27,West,Furniture,Dining Table Set,188.97,27,12,David Kim
4,2024-04-26,South,Electronics,Wireless Earbuds Z3,2592.2,46,38,Irene Thompson
5,2025-12-23,North,Food & Beverage,Cold Press Juice 12pk,294.47,16,59,Irene Thompson
6,2024-05-28,South,Clothing,Sports Hoodie,431.18,9,111,Bob Martinez
7,2024-10-09,South,Furniture,Dining Table Set,911.44,1,37,Leo Garcia
8,2024-11-01,Central,Sports,Mountain Bike 27.5,1741.3,29,69,Hector Patel
9,2024-12-19,North,Sports,Swimming Goggles Pro,804.24,21,112,David Kim
10,2025-12-15,West,Sports,Mountain Bike 27.5,528.44,50,53,Alice Johnson
11,2024-11-21,South,Food & Beverage,Cold Press Juice 12pk,296.76,42,20,Hector Patel
12,2024-02-07,West,Sports,Swimming Goggles Pro,717.43,7,112,Nathan Brown
13,2025-03-26,East,Sports,Mountain Bike 27.5,109.47,10,53,Nathan Brown
14,2025-11-01,West,Electronics,Tablet Air M2,3951.32,17,44,James Anderson
15,2025-12-10,South,Electronics,Smart TV 55in,4291.24,35,49,Frank Wilson
16,2025-10-03,South,Sports,Running Shoes Ultra,1265.52,16,81,Karen White
17,2024-10-21,West,Electronics,Tablet Air M2,4896.02,49,82,Leo Garcia
18,2024-04-12,South,Clothing,Silk Dress Shirt,727.57,3,42,Maria Davis
19,2024-02-27,North,Furniture,Bookshelf Modern,1377.46,16,68,Grace Lee
20,2025-08-02,West,Clothing,Casual Sneakers,109.23,25,80,Karen White
21,2024-09-03,South,Sports,Yoga Mat Premium,525.8,41,33,Hector Patel
22,2024-09-18,East,Food & Beverage,Artisan Pasta Set,209.73,11,10,Hector Patel
